sigma, x , y
1.1500000000000001,0.00209339,0.0146316
1.0900000000000003,0.030652,0.0366397
0.9300000000000002,0.0371756,0.00400842
1.1100000000000003,0.0661594,0.0258636
0.9100000000000001,0.0651918,-0.00572518
1.1100000000000003,0.102091,0.0139493
1.0900000000000003,0.141127,0.00979548
0.9900000000000001,0.123029,0.0395454
0.9100000000000001,0.152483,0.0399163
1.1900000000000002,0.177258,0.0118291
0.9900000000000001,0.208079,0.029624
1.1100000000000003,0.215545,-0.00576567
0.8700000000000001,0.181051,0.0460755
1.0900000000000003,0.242831,0.0200987
1.1500000000000001,0.276836,0.0111325
1.0100000000000002,0.252053,-0.014441
0.9700000000000001,0.269671,0.0448888
0.9900000000000001,0.300248,0.0386182
0.9900000000000001,0.310549,0.00343918
1.0100000000000002,0.331997,0.02821
0.9300000000000002,0.342741,-0.00546056
0.9500000000000002,0.363917,0.0158046
1.0100000000000002,0.392471,0.0314393
1.0700000000000003,0.378685,-0.0140086
0.8500000000000001,0.404203,0.00292581
0.9500000000000002,0.426556,0.0227111
0.81,0.436107,-0.00629393
0.9500000000000002,0.458823,0.0161423
1.0500000000000003,0.465837,-0.0152097
0.9900000000000001,0.485041,0.0391253
0.81,0.515513,0.030417
1.0100000000000002,0.490979,0.00780266
0.9300000000000002,0.525234,0.00213642
0.8900000000000001,0.547182,0.0249628
1.0500000000000003,0.579714,0.0139463
0.9700000000000001,0.556436,-0.00884777
0.9100000000000001,0.602543,0.0370343
1.0300000000000002,0.571732,0.047228
1.0900000000000003,0.637429,0.027171
1.0500000000000003,0.611981,0.00609957
0.9500000000000002,0.643601,-0.00458987
0.9900000000000001,0.671561,0.0176182
0.9900000000000001,0.703038,0.0107364
0.9100000000000001,0.675813,-0.0131592
1.0300000000000002,0.726585,0.0329998
0.9900000000000001,0.693689,0.0424169
0.9500000000000002,0.76197,0.0225283
1.0900000000000003,0.736876,0.000485655
0.9700000000000001,0.767423,-0.00838876
1.0300000000000002,0.792168,0.014459
1.0500000000000003,0.784937,0.0513176
1.1500000000000001,0.818019,0.0405887
1.0500000000000003,0.823653,0.00417728
1.0700000000000003,0.850467,0.0277363
0.9700000000000001,0.855815,-0.0046747
1.0900000000000003,0.884027,0.0187423
0.81,0.916123,0.0217563
0.8300000000000001,0.907802,-0.00415919
0.9100000000000001,0.969447,0.0240483
1.0700000000000003,0.974237,-0.0102999
1.1100000000000003,0.940712,0.00163375
1.0500000000000003,0.940816,0.0384311
1.1300000000000001,-0.00418647,0.0499903
1.1300000000000001,-0.00773549,0.0846276
1.0900000000000003,0.0253695,0.0733524
0.9500000000000002,0.0498114,0.0963159
1.0100000000000002,0.0195256,0.109418
0.9700000000000001,0.0563214,0.0601736
1.0900000000000003,0.0807472,0.0830792
1.0300000000000002,0.0916236,0.0497346
0.8500000000000001,0.107129,0.106116
1.0100000000000002,0.11245,0.0744466
0.8500000000000001,0.140255,0.0654903
0.9700000000000001,0.13809,0.0957772
1.1500000000000001,0.169741,0.0782124
1.0300000000000002,0.203556,0.0665739
0.8900000000000001,0.230629,0.0880122
1.1500000000000001,0.199462,0.100526
1.1300000000000001,0.236369,0.0539034
0.9900000000000001,0.260155,0.0778125
0.9100000000000001,0.292441,0.0678375
0.9900000000000001,0.284586,0.0986803
0.8500000000000001,0.255031,0.107947
1.0100000000000002,0.325262,0.0599025
0.8900000000000001,0.31588,0.0918195
1.0100000000000002,0.357543,0.0490453
1.2100000000000002,0.350509,0.0857577
1.0300000000000002,0.386553,0.0640624
0.81,0.381553,0.0941874
1.0100000000000002,0.419443,0.0530867
1.0100000000000002,0.411549,0.0852186
1.0100000000000002,0.452587,0.0463753
0.9900000000000001,0.443447,0.0778703
0.9900000000000001,0.477079,0.0720575
0.9300000000000002,0.465426,0.102351
0.8500000000000001,0.506447,0.06152
0.8500000000000001,0.497185,0.0955764
1.0900000000000003,0.527315,0.0863607
1.0300000000000002,0.536908,0.0541217
1.0300000000000002,0.561235,0.0786112
0.8900000000000001,0.593121,0.0721329
1.0700000000000003,0.582144,0.104798
1.0900000000000003,0.625576,0.0611257
1.0900000000000003,0.616542,0.0966287
1.1300000000000001,0.660363,0.0529179
1.0300000000000002,0.650612,0.0862727
0.9300000000000002,0.684604,0.0756825
1.0100000000000002,0.71335,0.10012
1.0500000000000003,0.716302,0.0671029
1.1100000000000003,0.67847,0.108773
1.1500000000000001,0.751715,0.0578098
0.9500000000000002,0.744571,0.0914755
0.9500000000000002,0.775355,0.0839783
0.9700000000000001,0.810537,0.0751239
0.9300000000000002,0.835661,0.0979923
1.0500000000000003,0.8432,0.0651952
1.0300000000000002,0.802137,0.105566
1.0100000000000002,0.876315,0.0563242
0.9100000000000001,0.866175,0.0903489
0.9900000000000001,0.900093,0.0813196
0.8900000000000001,0.906607,0.0495472
1.0500000000000003,0.923466,0.105158
1.0100000000000002,0.964172,0.0623225
1.1300000000000001,0.957749,0.0981809
1.0700000000000003,0.931092,0.072017
0.9700000000000001,-0.0137596,0.118408
0.9700000000000001,0.00994542,0.141606
1.0300000000000002,0.0433664,0.131203
0.9300000000000002,0.0344149,0.163545
1.0900000000000003,0.0756571,0.117568
0.9700000000000001,0.072276,0.150905
1.1300000000000001,0.103992,0.140142
0.9700000000000001,0.137715,0.127132
0.9900000000000001,0.133588,0.15992
1.0300000000000002,0.166318,0.114357
0.9300000000000002,0.163644,0.146668
0.9700000000000001,0.193887,0.135628
0.9300000000000002,0.227047,0.121807
1.0500000000000003,0.219691,0.155143
1.0500000000000003,0.188561,0.168276
1.0300000000000002,0.250335,0.141678
0.8700000000000001,0.278414,0.129465
1.0500000000000003,0.279835,0.161166
0.8500000000000001,0.305593,0.118739
0.9700000000000001,0.314243,0.146374
1.0500000000000003,0.336707,0.120575
1.0300000000000002,0.354412,0.149983
0.8900000000000001,0.369761,0.121479
0.8300000000000001,0.386101,0.148292
0.9900000000000001,0.400318,0.116387
1.1100000000000003,0.418836,0.142957
1.1100000000000003,0.433379,0.11028
0.8900000000000001,0.454915,0.135678
1.0700000000000003,0.475536,0.158311
1.0900000000000003,0.442676,0.166623
1.0700000000000003,0.48652,0.126146
0.9700000000000001,0.51238,0.150287
0.9700000000000001,0.519762,0.119949
0.9500000000000002,0.543684,0.140694
0.9100000000000001,0.551404,0.111244
0.9500000000000002,0.575312,0.136219
1.0300000000000002,0.608515,0.12991
0.9700000000000001,0.600686,0.160628
0.9900000000000001,0.567282,0.1672
1.1100000000000003,0.644556,0.12086
1.1100000000000003,0.633868,0.154829
1.0300000000000002,0.671051,0.143696
1.0100000000000002,0.663469,0.176052
1.1700000000000002,0.703537,0.134088
1.0100000000000002,0.730753,0.158286
1.0500000000000003,0.697173,0.1685
0.9500000000000002,0.768378,0.114295
0.9700000000000001,0.738334,0.123142
1.0900000000000003,0.762324,0.148231
1.0500000000000003,0.794258,0.13686
1.0900000000000003,0.787834,0.171935
1.1100000000000003,0.823474,0.162615
1.0300000000000002,0.827574,0.128036
0.9500000000000002,0.859566,0.121854
0.8300000000000001,0.854465,0.152064
1.0300000000000002,0.88998,0.112785
0.9700000000000001,0.882585,0.145648
1.0100000000000002,0.914391,0.136479
1.0100000000000002,0.90639,0.168986
1.1700000000000002,0.972978,0.148486
0.8700000000000001,0.945956,0.128757
0.9700000000000001,0.938266,0.159117
1.2100000000000002,0.00273972,0.177436
1.0700000000000003,-0.0126755,0.211853
1.0500000000000003,0.0310214,0.201002
0.9300000000000002,0.0377283,0.232044
1.0900000000000003,0.0623061,0.182563
0.8900000000000001,0.0616817,0.215436
0.9300000000000002,0.0961454,0.17244
1.0700000000000003,0.0926109,0.204451
1.0900000000000003,0.123588,0.191539
0.8900000000000001,0.157084,0.181811
0.9500000000000002,0.152326,0.213586
1.1700000000000002,0.120804,0.227402
0.9500000000000002,0.183081,0.201047
0.9900000000000001,0.211717,0.223577
1.0300000000000002,0.215273,0.189307
1.0700000000000003,0.246888,0.176147
0.9300000000000002,0.243198,0.209552
1.1300000000000001,0.274345,0.197079
0.9900000000000001,0.270215,0.231122
1.2300000000000002,0.309777,0.181817
1.0300000000000002,0.30058,0.217537
0.9300000000000002,0.333388,0.209546
0.9300000000000002,0.345441,0.180789
1.0300000000000002,0.377687,0.179585
1.1500000000000001,0.365394,0.21507
0.8900000000000001,0.39877,0.211971
0.9300000000000002,0.408989,0.174421
1.1700000000000002,0.431779,0.201856
1.0900000000000003,0.466663,0.192427
0.9900000000000001,0.4579,0.22585
1.0900000000000003,0.50167,0.181049
1.0500000000000003,0.49231,0.215608
1.0700000000000003,0.525223,0.208654
0.9900000000000001,0.536687,0.172415
1.0700000000000003,0.559194,0.201181
1.0900000000000003,0.593766,0.193059
1.0100000000000002,0.547895,0.233591
0.9700000000000001,0.582105,0.228105
1.1300000000000001,0.632743,0.191347
1.0300000000000002,0.613583,0.219826
1.0100000000000002,0.643947,0.227503
0.77,0.664184,0.20586
0.9300000000000002,0.691565,0.201248
0.8700000000000001,0.712273,0.223472
1.0500000000000003,0.722536,0.190053
1.1700000000000002,0.679285,0.235387
0.9100000000000001,0.754751,0.180884
1.0300000000000002,0.745909,0.214277
0.9300000000000002,0.778327,0.204051
1.0900000000000003,0.811799,0.197817
0.9300000000000002,0.836344,0.219982
1.0100000000000002,0.844605,0.189573
1.0100000000000002,0.80438,0.230383
1.0100000000000002,0.874818,0.178118
1.0100000000000002,0.869532,0.211757
0.9700000000000001,0.900585,0.201096
0.8500000000000001,0.924893,0.222688
1.0300000000000002,0.894067,0.233768
1.1900000000000002,0.963961,0.183984
0.9700000000000001,0.954207,0.217838
0.9500000000000002,0.930199,0.191457
1.0100000000000002,0.00592017,0.240561
0.9100000000000001,-0.00588623,0.270133
0.9900000000000001,0.0289933,0.262044
1.0100000000000002,0.0186627,0.292226
1.1100000000000003,0.0859309,0.237971
0.8300000000000001,0.0571533,0.253948
0.8700000000000001,0.0509427,0.282161
0.8900000000000001,0.0838416,0.270519
1.0700000000000003,0.108091,0.292118
0.8900000000000001,0.113492,0.258783
0.8300000000000001,0.15056,0.246989
1.0500000000000003,0.141693,0.277413
1.0900000000000003,0.180098,0.233393
1.0100000000000002,0.176054,0.268445
