sigma, x , y
1.0900000000000003,0.0406593,0.00756843
1.0100000000000002,0.00675206,0.0155998
1.1100000000000003,0.0301381,0.0401968
1.0100000000000002,0.0641774,0.0331578
0.9500000000000002,-0.00298143,0.0489205
1.0500000000000003,0.0197646,0.0736189
1.0700000000000003,0.0545731,0.0660889
0.9300000000000002,0.0964785,0.02568
1.2700000000000002,0.130691,0.0178481
1.0100000000000002,0.0888987,0.0575895
1.0100000000000002,0.123114,0.0532792
0.9700000000000001,0.14765,0.0779742
0.9300000000000002,0.156653,0.0469649
1.0500000000000003,0.16601,0.0128516
1.1300000000000001,0.218705,0.0283681
0.9500000000000002,0.187252,0.0402944
0.9700000000000001,0.179357,0.0710005
0.9500000000000002,0.210622,0.0621828
1.1500000000000001,0.253311,0.0184664
0.81,0.239914,0.0522693
1.0300000000000002,0.280153,0.0401758
1.0300000000000002,0.267628,0.0703921
1.0700000000000003,0.311518,0.0268374
0.9900000000000001,0.343046,0.0162574
0.9100000000000001,0.368159,0.0378051
0.8900000000000001,0.375161,0.00708956
1.0700000000000003,0.337973,0.0493133
0.9300000000000002,0.305653,0.0603297
0.8900000000000001,0.362941,0.0731895
0.8900000000000001,0.388167,0.0595551
0.9300000000000002,0.397438,0.0287667
1.0700000000000003,0.431925,0.0241344
0.9700000000000001,0.418115,0.0545258
0.9100000000000001,0.449909,0.0514827
0.6500000000000001,0.458461,0.0174973
0.9700000000000001,0.506258,0.0272464
0.8500000000000001,0.476226,0.0345918
1.0900000000000003,0.529232,0.056756
0.8500000000000001,0.463962,0.0791637
1.0700000000000003,0.492867,0.0628441
1.1100000000000003,0.54002,0.0235143
1.1100000000000003,0.575358,0.0176669
0.8900000000000001,0.608837,0.010812
1.0300000000000002,0.5646,0.0502531
1.0500000000000003,0.59959,0.0432542
0.9500000000000002,0.589826,0.0763667
0.79,0.640009,0.00463587
0.8900000000000001,0.66298,0.031004
1.0100000000000002,0.632398,0.0350999
0.9500000000000002,0.684465,0.0521633
0.8900000000000001,0.620044,0.0679855
0.9700000000000001,0.651976,0.0622113
1.1700000000000002,0.696268,0.0150167
0.9500000000000002,0.732112,0.0155537
0.8700000000000001,0.765797,0.0171627
1.1100000000000003,0.716961,0.0460955
1.0900000000000003,0.751502,0.0455037
1.0300000000000002,0.707944,0.0790748
0.9300000000000002,0.740995,0.0758279
1.0500000000000003,0.814979,0.0258368
0.9700000000000001,0.785233,0.0401492
0.8700000000000001,0.809591,0.0570552
0.9100000000000001,0.839924,0.0499506
0.81,0.773188,0.0680436
1.1100000000000003,0.849724,0.0186501
1.1500000000000001,0.884659,0.00908917
0.8900000000000001,0.908398,0.0335663
0.9500000000000002,0.873817,0.0420635
0.9500000000000002,0.863924,0.0717484
1.0500000000000003,0.898587,0.0645946
0.9700000000000001,0.919806,0.00561645
0.9100000000000001,0.974927,0.0230384
0.9500000000000002,0.942917,0.0286559
0.9900000000000001,0.964105,0.0522097
0.9900000000000001,0.931136,0.0590045
0.9700000000000001,0.987426,0.0795244
0.9900000000000001,0.0439336,0.0978707
0.9300000000000002,0.00895924,0.105006
0.9900000000000001,0.0306651,0.12801
1.1500000000000001,0.0677468,0.121889
0.9900000000000001,-0.00219172,0.135902
1.0700000000000003,0.0535055,0.154287
0.9900000000000001,0.0785032,0.0892112
1.1300000000000001,0.112708,0.0856094
0.9500000000000002,0.135904,0.110339
0.9500000000000002,0.101779,0.116911
0.9500000000000002,0.0889107,0.147306
0.9700000000000001,0.122213,0.14261
0.9900000000000001,0.204204,0.0943541
0.9300000000000002,0.168302,0.104395
1.1900000000000002,0.193825,0.12756
1.0900000000000003,0.15609,0.138606
0.8900000000000001,0.223191,0.149087
0.9300000000000002,0.23435,0.0816981
1.0100000000000002,0.229098,0.116805
1.1500000000000001,0.295394,0.0915042
1.0300000000000002,0.260141,0.103575
1.0300000000000002,0.288153,0.125942
1.0100000000000002,0.254223,0.138399
1.0500000000000003,0.330589,0.0832186
1.1500000000000001,0.359917,0.106642
1.0300000000000002,0.322487,0.115772
0.9100000000000001,0.346001,0.136703
1.0300000000000002,0.312959,0.148318
1.1300000000000001,0.374556,0.156668
0.9300000000000002,0.388214,0.126327
1.1100000000000003,0.394483,0.0914283
1.0700000000000003,0.430948,0.083753
0.9900000000000001,0.418027,0.115302
0.8900000000000001,0.452048,0.108594
0.9700000000000001,0.409968,0.149992
1.0700000000000003,0.440556,0.139465
1.0700000000000003,0.48462,0.099838
1.1700000000000002,0.520195,0.0908176
1.0900000000000003,0.475272,0.13292
1.0500000000000003,0.508876,0.124568
0.8500000000000001,0.499454,0.155505
1.0100000000000002,0.533071,0.147518
1.0500000000000003,0.556782,0.0829247
0.8500000000000001,0.577944,0.106349
1.0300000000000002,0.544798,0.116844
0.9100000000000001,0.608797,0.100349
0.9500000000000002,0.599518,0.130541
0.9500000000000002,0.568916,0.137813
0.9700000000000001,0.640275,0.0932266
0.9100000000000001,0.674602,0.0849067
1.0100000000000002,0.663341,0.114268
0.8900000000000001,0.630765,0.123762
0.9700000000000001,0.621209,0.155045
1.0900000000000003,0.653914,0.147827
1.0500000000000003,0.689161,0.144255
1.0700000000000003,0.696627,0.110624
0.9300000000000002,0.728598,0.104772
0.8900000000000001,0.764698,0.095639
0.9100000000000001,0.721962,0.137076
1.1300000000000001,0.753643,0.126523
1.0500000000000003,0.798576,0.0862955
1.0500000000000003,0.831406,0.0797772
0.9700000000000001,0.82207,0.112523
1.1700000000000002,0.788682,0.119233
0.9500000000000002,0.813537,0.144665
1.0100000000000002,0.844772,0.136119
1.0100000000000002,0.885909,0.0948732
1.0100000000000002,0.853751,0.103038
1.0700000000000003,0.880755,0.126767
0.79,0.912352,0.121834
0.9500000000000002,0.901899,0.150542
1.0500000000000003,0.920155,0.0915065
1.0500000000000003,0.954972,0.0834752
0.9500000000000002,0.977084,0.110817
1.0100000000000002,0.944242,0.114622
1.0500000000000003,0.964165,0.144438
0.9300000000000002,0.932504,0.143913
1.0500000000000003,0.0200888,0.161962
1.1500000000000001,0.0457635,0.191379
0.8700000000000001,0.0117653,0.192615
0.8500000000000001,0.0329854,0.223194
1.0900000000000003,0.0642293,0.224101
0.9700000000000001,0.0030903,0.222359
0.8300000000000001,0.0755867,0.173548
0.9300000000000002,0.106505,0.172599
0.9700000000000001,0.13749,0.16904
0.9900000000000001,0.0890556,0.199155
0.8300000000000001,0.120888,0.199061
0.9700000000000001,0.103113,0.227703
1.0500000000000003,0.136294,0.228533
1.0900000000000003,0.152645,0.199401
0.8900000000000001,0.167151,0.17007
1.0100000000000002,0.196048,0.163246
0.9300000000000002,0.2176,0.185277
1.0100000000000002,0.187617,0.195917
1.2100000000000002,0.175987,0.231635
0.9700000000000001,0.210646,0.219439
1.0100000000000002,0.247825,0.17209
1.0100000000000002,0.28053,0.160001
0.9500000000000002,0.275794,0.19313
1.1100000000000003,0.243091,0.206239
1.1100000000000003,0.271609,0.226702
1.1300000000000001,0.308185,0.181896
1.1100000000000003,0.340699,0.169204
0.9500000000000002,0.367788,0.190588
0.9100000000000001,0.335094,0.203289
1.0100000000000002,0.305528,0.215396
0.9700000000000001,0.362108,0.220857
0.9500000000000002,0.431233,0.174227
1.0300000000000002,0.399246,0.182591
0.8900000000000001,0.422965,0.207453
1.0300000000000002,0.453053,0.198796
0.8900000000000001,0.392602,0.213711
0.9300000000000002,0.445045,0.231434
1.1100000000000003,0.463441,0.165484
0.9900000000000001,0.522148,0.179223
1.1700000000000002,0.489442,0.190301
1.0700000000000003,0.479085,0.224283
0.8500000000000001,0.51185,0.215811
1.1700000000000002,0.557475,0.171878
0.9300000000000002,0.590266,0.162969
1.1300000000000001,0.545324,0.206992
1.1300000000000001,0.5825,0.198493
0.9300000000000002,0.571169,0.231188
0.9100000000000001,0.603228,0.223621
0.8700000000000001,0.611978,0.18513
1.0300000000000002,0.676894,0.176669
1.0500000000000003,0.642755,0.1806
1.0100000000000002,0.666284,0.208048
1.0300000000000002,0.632894,0.213819
1.1500000000000001,0.711746,0.171152
1.2500000000000002,0.74825,0.163015
1.0500000000000003,0.701264,0.205197
1.0700000000000003,0.735403,0.197465
0.8900000000000001,0.69116,0.234078
0.9700000000000001,0.724195,0.228884
0.77,0.757477,0.220737
1.1300000000000001,0.773337,0.192956
1.0100000000000002,0.783385,0.155837
1.0500000000000003,0.80637,0.179702
0.9300000000000002,0.836614,0.168461
0.8500000000000001,0.830408,0.201366
1.1500000000000001,0.801618,0.217683
1.0100000000000002,0.868243,0.158722
1.0500000000000003,0.89221,0.182439
0.9700000000000001,0.859158,0.190072
1.0100000000000002,0.882001,0.213214
1.0100000000000002,0.91418,0.20832
0.7300000000000001,0.851699,0.216913
1.1300000000000001,0.927507,0.17637
0.9700000000000001,0.988609,0.168626
0.8500000000000001,0.959498,0.175755
0.9700000000000001,0.979968,0.200033
0.9700000000000001,0.947985,0.204749
1.1100000000000003,0.970236,0.233091
1.0500000000000003,0.015147,0.25487
0.9300000000000002,0.0497881,0.254821
1.1100000000000003,0.0335804,0.284993
1.1100000000000003,0.0689963,0.285383
0.9500000000000002,0.000135461,0.28679
1.0300000000000002,0.0827108,0.254362
0.9500000000000002,0.117184,0.25685
1.0900000000000003,0.103852,0.285829
0.7100000000000001,0.133257,0.279633
0.9100000000000001,0.147912,0.258395
0.9500000000000002,0.207078,0.252
1.0700000000000003,0.178197,0.271441
0.9300000000000002,0.207345,0.282987
1.2100000000000002,0.155322,0.302658
0.9500000000000002,0.190685,0.308941
0.9900000000000001,0.239512,0.241383
0.8700000000000001,0.266263,0.258583
1.1500000000000001,0.300043,0.25017
1.0900000000000003,0.238029,0.274902
0.9300000000000002,0.267628,0.288164
0.9900000000000001,0.297879,0.285503
1.0900000000000003,0.225548,0.31028
0.9700000000000001,0.332403,0.235918
0.9300000000000002,0.357899,0.250901
1.2100000000000002,0.332562,0.273111
0.9300000000000002,0.36928,0.2783
0.9900000000000001,0.32005,0.30863
0.9300000000000002,0.352378,0.303807
0.81,0.385238,0.243777
0.9900000000000001,0.413977,0.237497
0.9500000000000002,0.434247,0.263583
0.8900000000000001,0.402573,0.26789
0.9500000000000002,0.456738,0.290206
0.9500000000000002,0.393582,0.298293
0.9900000000000001,0.424654,0.294124
0.9100000000000001,0.498643,0.250864
1.0300000000000002,0.528556,0.239511
1.0300000000000002,0.466321,0.257723
1.0500000000000003,0.489116,0.281859
1.1700000000000002,0.523552,0.277065
1.0300000000000002,0.514761,0.313143
0.9700000000000001,0.592794,0.25343
1.2100000000000002,0.557209,0.260742
1.0300000000000002,0.580434,0.287869
1.0100000000000002,0.548068,0.306093
0.77,0.60444,0.306549
1.0300000000000002,0.614643,0.277863
0.9900000000000001,0.623941,0.245705
1.0700000000000003,0.657665,0.239536
1.0300000000000002,0.681585,0.263844
0.9500000000000002,0.647149,0.271644
1.1300000000000001,0.635823,0.306336
1.2100000000000002,0.67212,0.298302
0.9300000000000002,0.746711,0.252266
1.0500000000000003,0.714513,0.259867
0.9500000000000002,0.738525,0.283136
0.9700000000000001,0.707482,0.292027
1.0500000000000003,0.761589,0.306936
1.0500000000000003,0.771171,0.274683
0.9500000000000002,0.776185,0.241589
1.0100000000000002,0.831017,0.235291
1.2100000000000002,0.806403,0.261417
1.0900000000000003,0.795544,0.298503
1.1100000000000003,0.830044,0.291915
0.9300000000000002,0.846608,0.264008
0.9700000000000001,0.865702,0.240609
0.8700000000000001,0.899902,0.238486
0.8300000000000001,0.885327,0.262498
0.8900000000000001,0.914323,0.263431
1.0300000000000002,0.865691,0.289239
0.8300000000000001,0.897351,0.287324
1.1300000000000001,0.933186,0.236519
0.8500000000000001,0.983965,0.26252
1.0700000000000003,0.951987,0.266465
0.8500000000000001,0.972362,0.289984
1.0500000000000003,0.928523,0.292619
1.0300000000000002,0.0219114,0.318257
1.0100000000000002,0.0550178,0.315331
0.9700000000000001,0.0407437,0.345409
0.9700000000000001,0.00895126,0.348739
0.9300000000000002,0.025785,0.374917
1.0100000000000002,0.0601291,0.371674
1.0300000000000002,0.0742278,0.34196
0.8700000000000001,0.0894153,0.315504
0.9300000000000002,0.121842,0.313582
0.9500000000000002,0.107524,0.339596
0.9300000000000002,0.140267,0.337304
0.9500000000000002,0.0930712,0.369464
0.9700000000000001,0.125122,0.367045
1.0100000000000002,0.157366,0.365664
1.0300000000000002,0.173156,0.336087
0.9500000000000002,0.206921,0.33894
0.9700000000000001,0.189446,0.366279
1.1700000000000002,0.223785,0.36849
0.9500000000000002,0.259018,0.316606
0.8900000000000001,0.289791,0.315543
0.9500000000000002,0.241753,0.340647
0.9100000000000001,0.275903,0.342713
1.0700000000000003,0.258625,0.371946
1.0100000000000002,0.292,0.372546
0.9700000000000001,0.306883,0.341625
1.0500000000000003,0.340266,0.33425
1.0900000000000003,0.376113,0.327151
0.8900000000000001,0.363903,0.357187
1.29,0.329857,0.371141
0.9700000000000001,0.412807,0.32634
0.9700000000000001,0.447715,0.320664
0.9100000000000001,0.435435,0.348986
1.1900000000000002,0.39731,0.357798
1.0100000000000002,0.424784,0.378455
0.8900000000000001,0.456767,0.377049
1.0300000000000002,0.480734,0.315706
0.8900000000000001,0.501422,0.343371
1.0500000000000003,0.468771,0.34708
1.0700000000000003,0.489113,0.374379
1.1100000000000003,0.523297,0.373007
1.0900000000000003,0.538415,0.339861
0.8300000000000001,0.576844,0.31689
0.9500000000000002,0.599996,0.334775
